At least 6 credits earned from introductory science courses:,,,
faulty,course code,credit,name
SC/BIOL,1000,3,Biology I
SC/BIOL,1001,3,Biology II
CHEM,1000,3,Chemical Structure
CHEM,1001,3,CHEMICAL DYNAMIC
PHYS,1410 or 1420,6,Physics with Applications to Life Sciences or Physical Science
PHYS,1411 or 1421,3,Physics Fundamentals 1 or Physics with Life Science Applications 1
PHYS,1412 or 1422,3,Physics Fundamentals 2 or Physics with Life Science Applications 2
General Education Requirements for all B.Sc. programs (Kinesiology majors only AKA our client),,,
AP/HUMA,1105,9,Myth and Imagination in Greece and Rome
AP/SOSC,1009,6,Introduction to Social Science (ESL)
At least 6 credits earned in approved math courses:,,,
MATH,"1506 and 1507
",6,Math I for Biological and Health Sciences /Math II for Biological/Health Sciences
MATH,1505,6,Mathematics for Life and Social Sciences
MATH,1014,3,Calculus in Polar Coordinates
MATH,1025,3,applied linear algebra
Three credits selected from:,,,
LE/EECS,1520,3,Computer Use: Fundamentals
LE/EECS,1540,3,Computer Use for the Natural Sciences
LE/EECS,1570,3,Computing for Psychology
Core Courses (42 credits): recommeded in this order,,,
KINE,1000,6,Kinesiology: Sociocultural Perspectives
KINE,1020,6,Fitness and Health
KINE,2011,3,Human Physiology I
KINE,2031,3,Human Anatomy
KINE,2049,3,Research Methods in Kinesiology
KINE,2050,3,Analysis of Data in Kinesiology I
KINE,3000,3,Psychology of Physical Activity & Health
KINE,3012,3,Human Physiology II
KINE,3020,3,Skilled Performance & Motor Learning
KINE,3030,3,Biomechanics of Human Movement
KINE,4010,3,Exercise Physiology
KINE,4020,3,Human Nutrition
At least 6 additional credits earned in kinesiology and health science (KINE) courses at the 4000 level.,,,
HH/KINE,4375,3,Body as Weapon
HH/KINE,4340,3,"Sport and ""Race"" in Canada"
At least 12 additional credits earned in kinesiology and health science (KINE) courses.,,,
HH/KINE,3440,3,Olympic Games: Heroes and Villains
HH/KINE,3620,3,Sociology of Sport I
HH/KINE,3400,3,Fitness Consulting and Personal Fitness
HH/KINE,3100,3,Health Psychology and Kinesiology
At least 9 credits earned must be in science credits outside the major.,,,
HH/PSYC,1010,6,
SC/BIOL,2040,3,Genetics
At least 6 additional credits earned must be in science credits outside the major as outlined above.,,,
SC/MATH,1510,6,Fundamentals of Mathematics
Students must complete 8 practicum courses.,,,
HH/PKIN,570,0,Ballroom Dance I
HH/PKIN,295,0,Pre-Swim I
HH/PKIN,303,0,Women's Basketball I
HH/PKIN,440,0,Badminton I
HH/PKIN,811,0,Clinical Placement in Athletic Therapy I
HH/PKIN,812,0,Clinical Placement in Athletic Therapy II
HH/PKIN,840,0,Elementary and Recreational Games
HH/PKIN,861,0,Personal Training I
HH/PKIN,862,0,Personal Training I
"One practicum course, completed from Aquatics courses.",,,
HH/PKIN,200,0,Swimming I
HH/PKIN,240,0,Lifesaving
HH/PKIN,270,0,Skin Diving
"One practicum course, completed from Emergency Care courses.",,,
HH/PKIN,751,0,Advanced First Aid/CPR
HH/PKIN,750,0,Emergency Care I
HH/PKIN,770,0,First Aid/CPR Instructor
"One practicum course, completed from Track and Field courses.",,,
HH/PKIN,600,0,Track and Field I
HH/PKIN,610,0,Track and Field II
